,City,City_id,Country,Lat,Lon,Sfc_temp_F,Sfc_press_mb,Rel_humidity_pct,Wind_speed_kts,Clouds_pct
273,Chuy,3443061,UY,-33.69,-53.46,58.87,1019.87,89,3.76,100
274,Kenai,5866063,US,60.55,-151.26,50.67,1017.0,87,3.36,20
275,Kortkeros,544397,RU,61.81,51.56,50.0,1011.0,100,8.95,75
276,Vila Velha,6320062,BR,-3.71,-38.6,81.95,1013.0,51,14.99,20
277,Palmares do Sul,3455461,BR,-30.26,-50.51,75.0,1020.0,50,1.99,74
278,Baiyin,1817240,CN,36.55,104.13,60.8,1022.0,93,2.24,0
279,Aguai,6535956,IT,46.3,11.4,63.99,1018.0,54,11.41,40
280,Hasaki,2112802,JP,35.73,140.83,71.78,1014.0,94,6.93,75
281,Vanimo,2084442,PG,-2.67,141.3,81.01,1007.95,76,3.71,99
282,Kochubey,868355,RU,44.39,46.54,72.91,1020.39,58,5.61,3
283,Enshi,1811720,CN,30.29,109.48,67.51,1007.21,87,3.33,94
284,Havelock,4470244,US,34.88,-76.9,81.09,1017.0,61,11.41,90
285,Banda Aceh,1215502,ID,5.56,95.32,83.35,1011.35,75,13.09,100
286,Dingle,1714733,PH,11.0,122.67,73.45,1006.25,96,1.3,100
287,Geraldton,5960603,CA,49.72,-86.95,66.2,1013.0,77,12.75,75
288,Slave Lake,6149374,CA,55.28,-114.77,53.6,1017.0,87,17.22,90
289,Rock Sound,3571592,BS,24.9,-76.2,84.43,1014.99,76,9.91,85
290,Homer,5864145,US,59.64,-151.54,52.52,1017.0,82,3.09,75
291,Luderitz,3355672,NA,-26.65,15.16,60.8,1020.0,77,21.92,0
292,Kloulklubed,7671223,PW,7.04,134.26,80.6,1008.0,83,10.29,90
293,Tiverton,2635762,GB,50.9,-3.49,70.47,1017.0,78,5.82,20
294,Gravdal,3147822,NO,59.79,5.78,73.09,1019.0,56,6.93,0
295,Ponta do Sol,3453439,BR,-20.63,-46.0,77.77,1018.42,35,7.52,17
296,Bintulu,1737486,MY,3.17,113.03,75.0,1011.0,10,1.59,100
297,Port Lincoln,2063036,AU,-34.72,135.86,54.91,1027.48,65,9.95,1
298,Turbat,1163054,PK,26.0,63.05,85.51,1004.19,61,5.91,44
299,Viedma,3832899,AR,-40.81,-62.99,50.41,1014.6,88,9.8,100
300,Iberia,3938531,PE,-11.41,-69.49,89.47,1010.11,43,2.13,31
301,Mbaiki,2384770,CF,3.87,17.99,70.75,1012.93,92,0.89,70
302,Gold Coast,2165087,AU,-28.0,153.41,56.12,1018.0,90,3.02,23
303,Maragogi,3395458,BR,-9.01,-35.22,76.69,1017.61,80,11.83,25
304,Veraval,3031871,FR,49.65,0.71,79.07,1016.0,31,5.82,0
305,Saint George,262462,GR,39.45,22.34,86.0,1014.0,37,5.82,20
306,Sao Joao da Barra,3448903,BR,-21.64,-41.05,75.2,1024.0,53,9.17,75
307,Moerai,4034188,PF,-22.43,-151.33,73.99,1016.34,84,10.07,0
308,Vohibinany,1054035,MG,-17.35,49.03,60.31,1023.06,97,2.48,58
309,Hunsur,1269873,IN,12.3,76.29,68.23,1011.5,87,7.52,89
310,Pokrovsk,2017824,RU,61.48,129.14,49.33,1012.95,87,4.38,2
311,Benguela,3351663,AO,-12.58,13.4,69.85,1015.84,82,8.84,0
312,Konya,306571,TR,37.87,32.48,77.0,1016.0,41,6.93,20
313,Kaeo,2189343,NZ,-35.1,173.78,44.51,1018.0,100,4.32,2
314,Luwuk,1637001,ID,-0.95,122.79,59.23,1011.41,97,4.94,78
315,Buchanan,2278158,LR,5.88,-10.05,84.2,1013.0,70,13.87,75
316,Porangatu,3453014,BR,-13.44,-49.14,98.83,1011.56,16,3.8,97
317,Venado Tuerto,3833062,AR,-33.75,-61.97,71.01,1006.0,68,1.99,12
318,Emerald,2167426,AU,-23.53,148.16,55.72,1017.0,66,5.82,92
319,Portland,4975802,US,43.66,-70.25,73.4,1024.0,53,8.05,20
320,Wahpeton,5062355,US,46.27,-96.61,69.37,1006.0,73,13.87,100
321,Carutapera,3402648,BR,-1.2,-46.02,84.97,1012.37,63,12.66,51
322,Malbork,3092472,PL,54.04,19.03,75.74,1022.0,53,10.29,0
323,Den Helder,2757220,NL,52.96,4.76,78.87,1017.0,73,9.17,0
324,San Quintin,1688687,PH,17.54,120.52,75.07,1007.97,93,3.74,79
325,Ambulu,1621313,ID,-8.35,113.61,73.99,1012.47,85,7.2,68
326,Hamilton,5969785,CA,43.26,-79.87,75.11,1020.0,53,17.22,75
327,Sarahan,1257277,IN,31.51,77.79,59.41,1010.65,85,2.26,90
328,Amahai,1651591,ID,-3.31,129.0,75.43,1010.9,83,10.58,26
329,Sao Borja,3449340,BR,-28.66,-56.0,71.83,1017.03,68,10.74,95
330,Bow Island,5906757,CA,49.87,-111.38,59.0,1019.0,72,8.05,75
331,Leningradskiy,2123814,RU,69.38,178.42,45.73,1002.4,99,11.68,100
332,Chara,262462,GR,39.42,22.43,86.0,1014.0,37,5.82,20
333,Sovetskiy,490040,RU,56.76,48.47,52.57,1019.89,80,8.97,99
334,Tommot,2015179,RU,58.97,126.27,46.63,1015.13,93,1.52,0
335,Nuuk,3421319,GL,64.17,-51.74,55.4,1007.0,43,2.24,75
336,Havre-Saint-Pierre,5972291,CA,50.23,-63.6,71.6,1023.0,53,8.05,1
337,Las Palmas,3667983,CO,9.27,-75.33,87.67,1007.41,70,3.51,100
338,Skjervoy,777682,NO,70.03,20.97,55.4,1018.0,82,4.7,40
339,Wuning,7071576,CN,29.26,120.23,77.05,1007.78,88,2.33,50
340,Lebyazhye,536466,RU,59.96,29.42,64.74,1021.0,77,6.71,0
341,Nishihara,1850144,JP,35.74,139.53,74.39,1017.0,88,6.93,75
342,Rayong,1607017,TH,12.68,101.28,84.67,1008.0,69,4.7,40
343,Gornopravdinsk,1506268,RU,60.06,69.92,55.09,1001.78,99,5.08,100
344,Grand Gaube,934479,MU,-20.01,57.66,71.33,1025.0,60,11.41,75
345,Bilbor,684870,RO,47.07,25.49,71.01,976.0,47,5.95,83
346,Morehead,4301307,US,38.18,-83.43,68.63,1017.0,88,9.17,20
347,Dandong,2037886,CN,40.12,124.37,66.97,1009.68,87,8.19,100
348,Itoman,1861280,JP,26.12,127.67,82.74,1011.0,79,3.36,20
349,Clarence Town,2171465,AU,-32.59,151.78,53.51,1020.0,93,3.36,40
350,Lebu,344979,ET,8.96,38.73,58.69,1016.02,83,1.45,72
351,Aksu,1524298,KZ,52.04,76.93,69.8,1007.0,52,11.18,0
352,Teodoro Sampaio,3446625,BR,-22.53,-52.17,88.75,1015.36,26,7.74,9
353,Half Moon Bay,5354943,US,37.46,-122.43,74.12,1014.0,77,3.36,5
354,Kameshkovo,553389,RU,56.35,41.0,59.23,1021.01,76,8.66,100
355,Santa Rosa,3835994,AR,-36.62,-64.29,76.33,1012.68,40,13.24,67
356,Port Macquarie,2152659,AU,-31.43,152.91,51.8,1019.0,100,4.7,75
357,Glendive,5654391,US,47.11,-104.71,64.35,1016.0,63,14.99,75
358,Aksarayskiy,583683,RU,46.79,48.01,77.0,1021.0,50,8.95,0
359,Sao Felix do Xingu,3388847,BR,-6.64,-51.99,94.69,1009.99,27,4.36,41
360,Sicula,667245,RO,46.43,21.75,78.49,1018.0,57,5.82,0
361,Sakaiminato,1853174,JP,35.55,133.23,69.8,1012.0,94,4.7,75
362,Paciran,1633442,ID,-6.9,112.33,75.43,1011.41,70,8.77,72
363,Ossora,2122389,RU,59.24,163.07,48.79,1010.53,97,5.28,100
364,Razam,1258270,IN,18.45,83.66,79.75,1004.97,81,3.11,99
365,Roebourne,2062276,AU,-20.77,117.15,56.17,1013.73,75,3.44,37
366,Nouakchott,2377450,MR,18.08,-15.98,84.2,1009.0,70,12.75,75
367,Palana,2122262,RU,59.08,159.95,51.85,1008.11,81,3.91,85
368,Santa Ana,3984717,MX,30.54,-111.12,91.0,1011.0,57,4.0,92
369,Daru,2098329,PG,-9.07,143.21,72.55,1011.73,86,7.14,88
370,Grindavik,3416888,IS,63.84,-22.43,52.65,982.0,87,17.22,75
371,Rio Gallegos,3838859,AR,-51.62,-69.22,51.8,989.0,29,27.51,40
372,Khash,1160571,IR,28.22,61.21,65.35,1007.28,15,8.84,0
373,Phangnga,1151464,TH,8.45,98.53,80.38,1012.0,70,9.17,40
374,Iskateley,866062,RU,67.68,53.15,39.43,1015.19,80,4.0,96
375,Touros,3386213,BR,-5.2,-35.46,84.2,1015.0,62,16.11,40
376,Lososina,2123688,RU,49.0,140.31,53.29,1011.95,88,5.08,0
377,Narrabri,2155742,AU,-30.33,149.78,51.37,1018.0,37,10.29,0
378,Oranjestad,3577154,AW,12.52,-70.03,87.8,1013.0,66,17.22,75
379,Atikokan,5888001,CA,48.76,-91.62,60.49,1005.87,95,8.97,100
380,Turinsk,1488933,RU,58.04,63.7,45.55,1009.82,95,14.32,100
381,Thanh Hoa,1574023,VN,10.21,106.33,77.0,1008.0,100,6.93,40
382,Nyurba,2018735,RU,63.29,118.35,54.01,1015.04,74,2.37,87
383,Turukhansk,1488903,RU,65.8,87.96,47.53,1011.22,94,11.92,100
384,Sabla,2349431,NG,12.75,4.71,82.81,1011.08,67,5.73,93
385,Souillac,3026644,FR,45.6,-0.6,84.38,1014.0,35,9.17,0
386,Laguna,3581398,BZ,16.17,-88.94,89.6,1011.0,70,9.17,20
387,Partur,1260228,IN,19.59,76.21,75.07,1006.09,80,11.07,100
388,Saint-Pierre,2995603,FR,48.95,4.24,84.97,1016.0,27,4.7,0
389,Aklavik,5882953,CA,68.22,-135.01,48.2,1008.0,87,2.24,90
390,Beringovskiy,2126710,RU,63.05,179.32,48.61,1012.36,82,8.75,98
391,Pasco,5806298,US,46.24,-119.1,72.21,1022.0,37,4.56,1
392,Sept-Iles,6144312,CA,50.2,-66.38,67.66,1023.0,64,12.75,40
393,Radece,3192144,SI,46.07,15.18,69.67,1019.0,78,8.05,54
394,Pochutla,3517970,MX,15.74,-96.47,85.14,1013.0,78,8.05,90
395,Qena,350550,EG,26.16,32.72,95.0,1007.0,28,4.7,0
396,Port Hardy,6111862,CA,50.7,-127.42,55.4,1026.0,87,6.93,20
397,Yelizovo,2119538,RU,53.19,158.38,51.8,1006.0,100,2.95,75
398,Taraz,1516905,KZ,42.89,71.39,69.8,1011.0,40,4.47,0
399,Tsabong,932987,BW,-26.02,22.4,65.71,1016.21,14,7.47,0
400,Puerto Colombia,3671497,CO,10.99,-74.96,91.4,1009.0,66,6.93,20
401,Alofi,4036284,NU,-19.06,-169.92,71.6,1015.0,78,13.87,90
402,Palembang,1633070,ID,-2.99,104.76,73.63,1010.15,92,3.33,92
403,Wangqing,2034221,CN,43.31,129.76,58.15,1010.11,99,2.59,97
404,Jutai,3388869,BR,-1.71,-47.89,87.85,1012.01,61,3.47,40
405,Jinchang,1805733,CN,38.52,102.19,65.71,1014.57,40,5.75,97
406,Rodrigues Alves,3665210,BR,-7.74,-72.65,91.4,1015.0,52,3.36,40
407,Umm Lajj,100926,SA,25.02,37.27,88.39,1004.13,66,14.07,36
408,Manaus,3663517,BR,-3.13,-59.98,87.75,1013.0,59,5.82,40
409,Northam,2064550,AU,-31.65,116.67,51.8,1023.0,66,4.7,0
410,Bonavista,5905393,CA,48.65,-53.11,62.01,1021.0,76,1.99,0
411,Flagstaff,5294810,US,35.2,-111.65,86.56,1026.0,24,5.82,1
412,Waingapu,1622318,ID,-9.65,120.26,65.17,1012.59,92,5.39,17
413,Zhezkazgan,1516589,KZ,47.8,67.71,71.83,1008.88,46,7.11,100
414,Imbituba,3461370,BR,-28.24,-48.67,66.2,1024.0,77,13.87,75
415,Loreto,3438834,PY,-23.27,-57.32,82.81,1015.27,40,5.57,100
416,Fort Nelson,5955902,CA,58.81,-122.69,55.4,1019.0,71,4.7,20
417,Vardo,4372777,US,39.62,-77.74,73.6,1021.0,64,9.17,90
418,Sandomierz,759603,PL,50.68,21.75,78.8,1021.0,57,3.36,0
419,Ghanzi,933644,BW,-21.7,21.65,65.71,1017.69,20,2.68,0
420,Tacuarembo,3440034,UY,-31.73,-55.98,68.95,1017.37,78,8.46,73
421,Kurilsk,2123979,RU,45.23,147.88,56.17,1016.43,87,9.84,0
422,Mandal,2031533,MN,48.82,106.5,45.19,1018.16,88,3.42,0
423,Zhuhai,2052479,CN,40.71,112.04,55.4,1017.0,71,6.71,0
424,Chilca,3934055,PE,-13.22,-72.34,64.4,1033.0,22,3.36,20
425,Nantucket,4944903,US,41.28,-70.1,69.42,1022.0,68,21.92,40
426,Dicabisagan,1715015,PH,17.08,122.42,74.71,1007.75,96,0.92,94
427,High Level,5975004,CA,58.52,-117.13,53.6,1017.0,93,5.82,75
428,San Clemente,5391791,US,33.43,-117.61,85.3,1013.0,35,3.36,1
429,Svetlogorsk,584051,RU,53.14,59.15,50.0,1018.0,66,13.42,75
430,Pachino,6539213,IT,36.72,15.09,79.47,1016.0,61,9.17,0
431,Sokoto,2322911,NG,13.06,5.24,81.91,1011.15,68,5.26,83
432,Ilheus,3461408,BR,-14.79,-39.05,80.6,1021.0,69,10.29,40
433,Cervo,3469169,BR,-22.19,-46.24,75.07,1020.13,43,7.05,0
434,Palmerston,6301965,AU,-12.49,130.99,70.59,1014.0,77,2.24,35
435,Nelson Bay,2155562,AU,-32.72,152.14,52.95,1020.0,93,3.36,40
436,Baoqing,2038446,CN,46.32,132.2,56.53,1009.58,95,7.25,39
437,Lantawan,1715775,PH,10.62,123.98,78.8,1007.0,88,4.7,90
438,Quatre Cocos,1106643,MU,-20.21,57.76,71.29,1025.0,60,11.41,75
439,Te Anau,2181625,NZ,-45.41,167.72,38.71,1013.7,87,6.2,65
440,Bulawayo,894701,ZW,-20.16,28.59,63.55,1017.56,19,2.93,0
441,San Andres,1690438,PH,13.32,122.68,76.33,1005.39,90,6.85,100
442,Mae Hong Son,1152222,MM,19.3,97.96,70.21,1008.21,99,3.13,100
443,Quchan,119115,IR,37.11,58.51,58.87,1014.88,20,6.53,0
444,Mbeya,154380,TZ,-8.91,33.47,61.75,1015.97,65,6.64,45
445,Ostrovnoy,556268,RU,68.05,39.51,43.21,1014.92,90,12.88,96
446,Seydi,2448024,NE,13.34,7.75,80.6,1012.0,94,9.15,40
447,Conakry,2422465,GN,9.52,-13.7,77.95,1013.23,82,11.99,100
448,Edson,5946820,CA,53.59,-116.44,57.2,1021.0,50,18.34,20
449,Winnemucca,5710360,US,40.97,-117.74,75.0,1022.0,22,5.99,0
450,Saint-Georges,6295855,CA,46.12,-70.67,72.72,1023.0,53,1.99,33
451,Novopokrovka,699328,UA,49.84,36.56,71.6,1025.0,33,4.47,0
452,Nurlat,516716,RU,54.43,50.8,51.67,1022.92,85,4.65,82
453,Kuopio,650225,FI,62.89,27.68,62.6,1019.0,63,8.05,0
454,Coihaique,3894426,CL,-45.58,-72.07,38.08,1008.0,80,6.93,90
455,Orocue,3673536,CO,4.79,-71.34,91.63,1011.78,52,2.28,68
456,Quthing,932183,LS,-30.4,27.7,51.13,1019.3,21,3.38,0
457,San Carlos de Bariloche,7647007,AR,-41.13,-71.31,44.6,1015.0,65,27.51,40
458,Hovd,7626384,NO,63.83,10.7,67.89,1017.0,64,12.75,0
459,Maniitsoq,3421982,GL,65.42,-52.9,45.73,1006.63,68,5.17,95
460,Bilibino,2126682,RU,68.06,166.44,48.43,1005.94,95,5.48,60
461,Ternate,1682474,PH,14.29,120.72,77.83,1007.0,88,6.93,75
462,Fort Smith,4111410,US,35.39,-94.42,88.75,1009.0,79,6.93,20
463,Lashio,1314759,MM,22.93,97.75,70.39,1006.24,99,0.51,85
464,Lianyuan,1804451,CN,27.69,111.67,71.11,1004.91,95,1.79,100
465,Bikin,2026696,RU,46.82,134.25,54.37,1011.32,97,4.43,0
466,Riberalta,3906466,BO,-11.0,-66.08,86.0,1015.0,66,3.65,75
467,Bouna,2290849,CI,9.27,-3.0,77.05,1011.01,88,5.12,41
468,Sfantu Gheorghe,667306,RO,44.65,26.83,83.35,1020.0,39,3.36,0
469,Miri,2347470,NG,10.31,9.75,72.37,1012.57,86,1.41,70
470,Stancuta,666309,RO,44.9,27.83,79.57,1020.14,37,8.81,44
471,Southbridge,4951594,US,42.08,-72.03,71.91,1023.0,43,4.7,20
472,Evensk,2125693,RU,61.92,159.24,44.65,1009.26,92,1.79,100
473,Saint-Joseph,3037456,FR,43.56,6.97,82.72,1016.0,51,4.7,0
474,Obo,236950,CF,5.39,26.49,68.41,1013.65,93,1.77,96
475,Lata,1253628,IN,30.78,78.62,41.77,1012.14,93,1.66,87
476,Tigre,3427761,AR,-34.42,-58.58,72.41,1017.0,68,5.82,40
477,Dunmore East,2964492,IE,52.15,-6.99,65.43,1017.0,77,12.75,0
478,Cidreira,3466165,BR,-30.17,-50.22,72.01,1020.2,50,3.44,48
479,Faya,110690,SA,18.39,42.45,72.54,1022.0,64,4.7,20
480,Saint-Augustin,6138501,CA,45.63,-73.98,77.74,1023.0,47,6.93,20
481,Turayf,101312,SA,31.68,38.65,95.0,1012.0,20,6.93,0
482,Sinnamary,3380290,GF,5.38,-52.96,82.99,1011.78,76,22.03,0
483,Surt,2210554,LY,31.21,16.59,80.83,1014.05,78,13.78,0
484,Owo,2325314,NG,7.2,5.59,73.09,1013.41,96,4.88,18
485,Xiongyue,2033630,CN,40.18,122.12,75.97,1008.17,76,14.5,100
486,Leh,1264976,IN,34.16,77.58,52.75,1016.17,32,3.09,64
487,Umm Kaddadah,364933,SD,13.6,26.69,86.41,1008.33,45,21.16,96
488,Bridlington,2654728,GB,54.08,-0.19,81.61,1015.0,35,9.17,0
489,Bestobe,1525376,KZ,52.5,73.1,72.01,1003.28,43,23.85,67
490,Adrar,2508813,DZ,27.87,-0.29,111.2,1008.0,9,6.93,49
491,Fort Morgan,5577158,US,40.25,-103.8,70.99,1020.0,37,4.7,75
492,Coahuayana,3981460,MX,18.62,-100.35,82.81,1012.91,76,2.35,100
493,Robertsport,2274275,LR,6.75,-11.37,74.53,1013.35,92,8.59,100
494,Beyneu,610298,KZ,45.32,55.19,76.33,1017.54,34,10.2,100
495,Tonk,1254241,IN,26.16,75.79,83.71,1002.29,72,5.88,80
496,La Palma,3687505,CO,5.36,-74.39,92.35,1010.12,35,3.36,34
497,Xichang,1789647,CN,27.88,102.25,57.79,1012.26,91,3.67,56
498,Zyryanka,2119283,RU,65.73,150.89,52.57,1009.28,91,16.02,100
499,Ust-Kuyga,2013921,RU,70.0,135.55,48.25,1015.12,83,3.04,90
500,Komsomolskiy,1486910,RU,67.55,63.78,38.35,1016.29,92,6.58,90
501,Armidale,2177671,AU,-30.51,151.67,45.0,1020.0,72,4.74,0
502,Greytown,1000006,ZA,-29.06,30.59,55.09,1019.79,62,3.24,29
503,San Cristobal,3609418,HN,14.68,-86.92,87.13,1011.27,40,9.08,59
504,Kalispell,5660340,US,48.2,-114.32,62.58,1022.0,55,3.36,1
505,Masuguru,878054,MZ,-11.38,38.46,78.67,1016.1,32,5.41,0
506,Lakes Entrance,2160735,AU,-37.88,147.99,34.47,1022.0,93,6.8,0
507,Springbok,3361142,ZA,-29.67,17.88,50.77,1023.87,72,17.85,0
508,Bhabua,1276371,IN,25.04,83.61,81.37,1000.81,82,7.36,85
509,San Pedro,3428576,AR,-33.68,-59.66,73.44,1014.0,42,8.01,83
510,Moron,3720455,HT,18.56,-74.26,84.25,1014.68,69,3.87,2
511,Bolshoye Nagatkino,480884,RU,54.52,47.97,59.0,1023.0,62,6.71,91
512,Preveza,254698,GR,38.96,20.75,84.2,1012.0,58,5.82,0
513,Jerome,7176038,US,34.75,-112.11,87.13,1026.0,24,5.82,1
514,Morondava,1058381,MG,-20.3,44.28,75.79,1018.31,74,17.34,0
515,Kovernino,543494,RU,57.13,43.81,58.69,1018.39,79,9.57,100
516,Atasu,1526041,KZ,48.68,71.64,75.25,1007.48,26,10.25,77
517,Kudahuvadhoo,1337607,MV,2.67,72.89,82.81,1011.91,76,7.09,64
518,Lasem,8142546,ID,-6.99,112.52,75.97,1011.33,77,2.37,86
519,Kjollefjord,779261,NO,70.95,27.35,50.56,1017.0,87,2.24,75
520,Flin Flon,5954718,CA,54.77,-101.88,59.0,1006.0,87,6.93,75
521,Marsh Harbour,3571913,BS,26.54,-77.06,84.97,1014.53,71,4.12,100
522,Prince Rupert,6113406,CA,54.32,-130.32,57.2,1024.0,87,5.82,90
523,Smithers,6149996,CA,54.78,-127.17,44.6,1026.0,87,3.36,75
524,Concepcion del Oro,4013039,MX,24.63,-101.42,73.81,1011.63,42,1.01,21
525,Kuching,1735634,MY,1.56,110.34,75.07,1010.0,100,0.74,75
526,Arcelia,4018320,MX,18.32,-100.28,82.81,1012.91,76,2.35,100
527,Manavalakurichi,1263942,IN,8.13,77.3,77.0,1012.0,94,15.68,90
528,Santa Cruz Cabralia,3450288,BR,-16.28,-39.02,78.8,1022.0,65,11.41,75
529,Minab,123941,IR,27.15,57.07,91.4,1002.0,63,2.24,0
530,Sundsvall,2670781,SE,62.39,17.31,62.91,1022.0,77,3.36,0
531,Kamina,214614,CD,-8.74,25.0,78.49,1012.86,37,1.25,94
532,Christchurch,2192362,NZ,-43.53,172.64,37.51,1013.0,80,8.05,66
533,Bambous Virieux,1106677,MU,-20.34,57.76,71.28,1025.0,60,11.41,75
534,Ostuni,3171786,IT,40.73,17.58,81.54,1015.0,83,8.05,0
535,Fukagawa,2130332,JP,43.72,142.05,55.63,1015.51,90,3.24,56
536,Kabanjahe,1214965,ID,3.1,98.49,70.75,1011.8,98,0.43,100
537,Weiswampach,2959989,DE,50.14,6.08,79.18,1017.0,32,3.36,20
538,Porto Novo,6322184,BR,-23.68,-45.44,75.2,1023.0,44,5.82,0
539,Peterhead,2078025,AU,-34.83,138.5,41.4,1027.0,87,6.93,20
540,Belmonte,8010472,PT,40.36,-7.35,74.8,1013.0,54,7.85,84
541,Jiblah,74185,YE,13.92,44.15,73.27,1007.85,73,0.89,48
542,Sindor,492860,RU,62.87,51.9,47.53,1012.15,95,6.87,100
543,Zhangye,1785036,CN,38.94,100.46,64.45,1016.74,47,5.26,75
544,Inongo,2315417,CD,-1.93,18.29,78.13,1011.33,65,1.83,61
545,Almaznyy,582447,RU,48.03,40.04,77.0,1022.0,29,11.18,0
546,Kupang,2057087,ID,-10.16,123.6,71.6,1013.0,68,6.93,8
